# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
1.740000e-01	3.005951e-15	3.005951e-15	3.005951e-15
1.750000e-01	3.012765e-15	3.012765e-15	3.012765e-15
1.760000e-01	3.019995e-15	3.019995e-15	3.019995e-15
1.770000e-01	3.027616e-15	3.027616e-15	3.027616e-15
1.780000e-01	3.035603e-15	3.035603e-15	3.035603e-15
1.790000e-01	3.043927e-15	3.043927e-15	3.043927e-15
1.800000e-01	3.052563e-15	3.052563e-15	3.052563e-15
1.810000e-01	3.061479e-15	3.061479e-15	3.061479e-15
1.820000e-01	3.070648e-15	3.070648e-15	3.070648e-15
1.830000e-01	3.080037e-15	3.080037e-15	3.080037e-15
1.840000e-01	3.089616e-15	3.089616e-15	3.089616e-15
1.850000e-01	3.099352e-15	3.099352e-15	3.099352e-15
1.860000e-01	3.109214e-15	3.109214e-15	3.109214e-15
1.870000e-01	3.119167e-15	3.119167e-15	3.119167e-15
1.880000e-01	3.129180e-15	3.129180e-15	3.129180e-15
1.890000e-01	3.139219e-15	3.139219e-15	3.139219e-15
1.900000e-01	3.149250e-15	3.149250e-15	3.149250e-15
1.910000e-01	3.159241e-15	3.159241e-15	3.159241e-15
1.920000e-01	3.169158e-15	3.169158e-15	3.169158e-15
1.930000e-01	3.178968e-15	3.178968e-15	3.178968e-15
1.940000e-01	3.188641e-15	3.188641e-15	3.188641e-15
1.950000e-01	3.198143e-15	3.198143e-15	3.198143e-15
1.960000e-01	3.207445e-15	3.207445e-15	3.207445e-15
1.970000e-01	3.216516e-15	3.216516e-15	3.216516e-15
1.980000e-01	3.225327e-15	3.225327e-15	3.225327e-15
1.990000e-01	3.233852e-15	3.233852e-15	3.233852e-15
2.000000e-01	3.242062e-15	3.242062e-15	3.242062e-15
2.010000e-01	3.249933e-15	3.249933e-15	3.249933e-15
2.020000e-01	3.257442e-15	3.257442e-15	3.257442e-15
2.030000e-01	3.264565e-15	3.264565e-15	3.264565e-15
2.040000e-01	3.271283e-15	3.271283e-15	3.271283e-15
2.050000e-01	3.277576e-15	3.277576e-15	3.277576e-15
2.060000e-01	3.283427e-15	3.283427e-15	3.283427e-15
2.070000e-01	3.288821e-15	3.288821e-15	3.288821e-15
2.080000e-01	3.293746e-15	3.293746e-15	3.293746e-15
2.090000e-01	3.298189e-15	3.298189e-15	3.298189e-15
2.100000e-01	3.302142e-15	3.302142e-15	3.302142e-15
2.110000e-01	3.305597e-15	3.305597e-15	3.305597e-15
2.120000e-01	3.308549e-15	3.308549e-15	3.308549e-15
2.130000e-01	3.310996e-15	3.310996e-15	3.310996e-15
2.140000e-01	3.312936e-15	3.312936e-15	3.312936e-15
2.150000e-01	3.314370e-15	3.314370e-15	3.314370e-15
2.160000e-01	3.315301e-15	3.315301e-15	3.315301e-15
2.170000e-01	3.315735e-15	3.315735e-15	3.315735e-15
2.180000e-01	3.315679e-15	3.315679e-15	3.315679e-15
2.190000e-01	3.315140e-15	3.315140e-15	3.315140e-15
2.200000e-01	3.314131e-15	3.314131e-15	3.314131e-15
2.210000e-01	3.312662e-15	3.312662e-15	3.312662e-15
2.220000e-01	3.310748e-15	3.310748e-15	3.310748e-15
2.230000e-01	3.308405e-15	3.308405e-15	3.308405e-15
2.240000e-01	3.305648e-15	3.305648e-15	3.305648e-15
2.250000e-01	3.302496e-15	3.302496e-15	3.302496e-15
2.260000e-01	3.298968e-15	3.298968e-15	3.298968e-15
2.270000e-01	3.295083e-15	3.295083e-15	3.295083e-15
2.280000e-01	3.290862e-15	3.290862e-15	3.290862e-15
2.290000e-01	3.286326e-15	3.286326e-15	3.286326e-15
2.300000e-01	3.281498e-15	3.281498e-15	3.281498e-15
2.310000e-01	3.276400e-15	3.276400e-15	3.276400e-15
2.320000e-01	3.271053e-15	3.271053e-15	3.271053e-15
2.330000e-01	3.265481e-15	3.265481e-15	3.265481e-15
2.340000e-01	3.259705e-15	3.259705e-15	3.259705e-15
2.350000e-01	3.253748e-15	3.253748e-15	3.253748e-15
2.360000e-01	3.247632e-15	3.247632e-15	3.247632e-15
2.370000e-01	3.241377e-15	3.241377e-15	3.241377e-15
2.380000e-01	3.235005e-15	3.235005e-15	3.235005e-15
2.390000e-01	3.228535e-15	3.228535e-15	3.228535e-15
2.400000e-01	3.221985e-15	3.221985e-15	3.221985e-15
2.410000e-01	3.215376e-15	3.215376e-15	3.215376e-15
2.420000e-01	3.208722e-15	3.208722e-15	3.208722e-15
2.430000e-01	3.202041e-15	3.202041e-15	3.202041e-15
2.440000e-01	3.195346e-15	3.195346e-15	3.195346e-15
2.450000e-01	3.188652e-15	3.188652e-15	3.188652e-15
2.460000e-01	3.181970e-15	3.181970e-15	3.181970e-15
2.470000e-01	3.175312e-15	3.175312e-15	3.175312e-15
2.480000e-01	3.168688e-15	3.168688e-15	3.168688e-15
2.490000e-01	3.162104e-15	3.162104e-15	3.162104e-15
2.500000e-01	3.155570e-15	3.155570e-15	3.155570e-15
2.510000e-01	3.149089e-15	3.149089e-15	3.149089e-15
2.520000e-01	3.142666e-15	3.142666e-15	3.142666e-15
2.530000e-01	3.136305e-15	3.136305e-15	3.136305e-15
2.540000e-01	3.130007e-15	3.130007e-15	3.130007e-15
2.550000e-01	3.123772e-15	3.123772e-15	3.123772e-15
2.560000e-01	3.117600e-15	3.117600e-15	3.117600e-15
2.570000e-01	3.111488e-15	3.111488e-15	3.111488e-15
2.580000e-01	3.105435e-15	3.105435e-15	3.105435e-15
2.590000e-01	3.099435e-15	3.099435e-15	3.099435e-15
2.600000e-01	3.093485e-15	3.093485e-15	3.093485e-15
2.610000e-01	3.087578e-15	3.087578e-15	3.087578e-15
2.620000e-01	3.081708e-15	3.081708e-15	3.081708e-15
2.630000e-01	3.075868e-15	3.075868e-15	3.075868e-15
2.640000e-01	3.070049e-15	3.070049e-15	3.070049e-15
2.650000e-01	3.064245e-15	3.064245e-15	3.064245e-15
2.660000e-01	3.058445e-15	3.058445e-15	3.058445e-15
2.670000e-01	3.052641e-15	3.052641e-15	3.052641e-15
2.680000e-01	3.046823e-15	3.046823e-15	3.046823e-15
2.690000e-01	3.040983e-15	3.040983e-15	3.040983e-15
2.700000e-01	3.035110e-15	3.035110e-15	3.035110e-15
2.710000e-01	3.029196e-15	3.029196e-15	3.029196e-15
2.720000e-01	3.023230e-15	3.023230e-15	3.023230e-15
2.730000e-01	3.017205e-15	3.017205e-15	3.017205e-15
2.740000e-01	3.011112e-15	3.011112e-15	3.011112e-15
2.750000e-01	3.004942e-15	3.004942e-15	3.004942e-15
2.760000e-01	2.998687e-15	2.998687e-15	2.998687e-15
2.770000e-01	2.992341e-15	2.992341e-15	2.992341e-15
2.780000e-01	2.985897e-15	2.985897e-15	2.985897e-15
2.790000e-01	2.979349e-15	2.979349e-15	2.979349e-15
2.800000e-01	2.972693e-15	2.972693e-15	2.972693e-15
2.810000e-01	2.965923e-15	2.965923e-15	2.965923e-15
2.820000e-01	2.959038e-15	2.959038e-15	2.959038e-15
2.830000e-01	2.952032e-15	2.952032e-15	2.952032e-15
2.840000e-01	2.944907e-15	2.944907e-15	2.944907e-15
2.850000e-01	2.937659e-15	2.937659e-15	2.937659e-15
2.860000e-01	2.930289e-15	2.930289e-15	2.930289e-15
2.870000e-01	2.922799e-15	2.922799e-15	2.922799e-15
