# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
1.750000e-01	3.015359e-15	3.015359e-15	3.015359e-15
1.760000e-01	3.022603e-15	3.022603e-15	3.022603e-15
1.770000e-01	3.030238e-15	3.030238e-15	3.030238e-15
1.780000e-01	3.038239e-15	3.038239e-15	3.038239e-15
1.790000e-01	3.046578e-15	3.046578e-15	3.046578e-15
1.800000e-01	3.055227e-15	3.055227e-15	3.055227e-15
1.810000e-01	3.064158e-15	3.064158e-15	3.064158e-15
1.820000e-01	3.073341e-15	3.073341e-15	3.073341e-15
1.830000e-01	3.082745e-15	3.082745e-15	3.082745e-15
1.840000e-01	3.092338e-15	3.092338e-15	3.092338e-15
1.850000e-01	3.102088e-15	3.102088e-15	3.102088e-15
1.860000e-01	3.111964e-15	3.111964e-15	3.111964e-15
1.870000e-01	3.121932e-15	3.121932e-15	3.121932e-15
1.880000e-01	3.131959e-15	3.131959e-15	3.131959e-15
1.890000e-01	3.142012e-15	3.142012e-15	3.142012e-15
1.900000e-01	3.152057e-15	3.152057e-15	3.152057e-15
1.910000e-01	3.162062e-15	3.162062e-15	3.162062e-15
1.920000e-01	3.171993e-15	3.171993e-15	3.171993e-15
1.930000e-01	3.181818e-15	3.181818e-15	3.181818e-15
1.940000e-01	3.191505e-15	3.191505e-15	3.191505e-15
1.950000e-01	3.201021e-15	3.201021e-15	3.201021e-15
1.960000e-01	3.210337e-15	3.210337e-15	3.210337e-15
1.970000e-01	3.219423e-15	3.219423e-15	3.219423e-15
1.980000e-01	3.228249e-15	3.228249e-15	3.228249e-15
1.990000e-01	3.236787e-15	3.236787e-15	3.236787e-15
2.000000e-01	3.245012e-15	3.245012e-15	3.245012e-15
2.010000e-01	3.252897e-15	3.252897e-15	3.252897e-15
2.020000e-01	3.260420e-15	3.260420e-15	3.260420e-15
2.030000e-01	3.267558e-15	3.267558e-15	3.267558e-15
2.040000e-01	3.274289e-15	3.274289e-15	3.274289e-15
2.050000e-01	3.280597e-15	3.280597e-15	3.280597e-15
2.060000e-01	3.286462e-15	3.286462e-15	3.286462e-15
2.070000e-01	3.291871e-15	3.291871e-15	3.291871e-15
2.080000e-01	3.296810e-15	3.296810e-15	3.296810e-15
2.090000e-01	3.301267e-15	3.301267e-15	3.301267e-15
2.100000e-01	3.305234e-15	3.305234e-15	3.305234e-15
2.110000e-01	3.308704e-15	3.308704e-15	3.308704e-15
2.120000e-01	3.311670e-15	3.311670e-15	3.311670e-15
2.130000e-01	3.314131e-15	3.314131e-15	3.314131e-15
2.140000e-01	3.316085e-15	3.316085e-15	3.316085e-15
2.150000e-01	3.317534e-15	3.317534e-15	3.317534e-15
2.160000e-01	3.318480e-15	3.318480e-15	3.318480e-15
2.170000e-01	3.318928e-15	3.318928e-15	3.318928e-15
2.180000e-01	3.318885e-15	3.318885e-15	3.318885e-15
2.190000e-01	3.318361e-15	3.318361e-15	3.318361e-15
2.200000e-01	3.317366e-15	3.317366e-15	3.317366e-15
2.210000e-01	3.315912e-15	3.315912e-15	3.315912e-15
2.220000e-01	3.314012e-15	3.314012e-15	3.314012e-15
2.230000e-01	3.311683e-15	3.311683e-15	3.311683e-15
2.240000e-01	3.308941e-15	3.308941e-15	3.308941e-15
2.250000e-01	3.305803e-15	3.305803e-15	3.305803e-15
2.260000e-01	3.302289e-15	3.302289e-15	3.302289e-15
2.270000e-01	3.298418e-15	3.298418e-15	3.298418e-15
2.280000e-01	3.294211e-15	3.294211e-15	3.294211e-15
2.290000e-01	3.289690e-15	3.289690e-15	3.289690e-15
2.300000e-01	3.284877e-15	3.284877e-15	3.284877e-15
2.310000e-01	3.279792e-15	3.279792e-15	3.279792e-15
2.320000e-01	3.274460e-15	3.274460e-15	3.274460e-15
2.330000e-01	3.268902e-15	3.268902e-15	3.268902e-15
2.340000e-01	3.263141e-15	3.263141e-15	3.263141e-15
2.350000e-01	3.257198e-15	3.257198e-15	3.257198e-15
2.360000e-01	3.251096e-15	3.251096e-15	3.251096e-15
2.370000e-01	3.244856e-15	3.244856e-15	3.244856e-15
2.380000e-01	3.238498e-15	3.238498e-15	3.238498e-15
2.390000e-01	3.232042e-15	3.232042e-15	3.232042e-15
2.400000e-01	3.225508e-15	3.225508e-15	3.225508e-15
2.410000e-01	3.218912e-15	3.218912e-15	3.218912e-15
2.420000e-01	3.212273e-15	3.212273e-15	3.212273e-15
2.430000e-01	3.205606e-15	3.205606e-15	3.205606e-15
2.440000e-01	3.198926e-15	3.198926e-15	3.198926e-15
2.450000e-01	3.192246e-15	3.192246e-15	3.192246e-15
2.460000e-01	3.185579e-15	3.185579e-15	3.185579e-15
2.470000e-01	3.178936e-15	3.178936e-15	3.178936e-15
2.480000e-01	3.172325e-15	3.172325e-15	3.172325e-15
2.490000e-01	3.165757e-15	3.165757e-15	3.165757e-15
2.500000e-01	3.159236e-15	3.159236e-15	3.159236e-15
2.510000e-01	3.152770e-15	3.152770e-15	3.152770e-15
2.520000e-01	3.146362e-15	3.146362e-15	3.146362e-15
2.530000e-01	3.140015e-15	3.140015e-15	3.140015e-15
2.540000e-01	3.133731e-15	3.133731e-15	3.133731e-15
2.550000e-01	3.127511e-15	3.127511e-15	3.127511e-15
2.560000e-01	3.121353e-15	3.121353e-15	3.121353e-15
2.570000e-01	3.115256e-15	3.115256e-15	3.115256e-15
2.580000e-01	3.109217e-15	3.109217e-15	3.109217e-15
2.590000e-01	3.103232e-15	3.103232e-15	3.103232e-15
2.600000e-01	3.097296e-15	3.097296e-15	3.097296e-15
