# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
2.570000e-01	-3.757461e-08	-3.757461e-08	-3.757461e-08
2.580000e-01	-3.756066e-08	-3.756066e-08	-3.756066e-08
2.590000e-01	-3.754763e-08	-3.754763e-08	-3.754763e-08
2.600000e-01	-3.753530e-08	-3.753530e-08	-3.753530e-08
2.610000e-01	-3.752345e-08	-3.752345e-08	-3.752345e-08
2.620000e-01	-3.751178e-08	-3.751178e-08	-3.751178e-08
2.630000e-01	-3.749997e-08	-3.749997e-08	-3.749997e-08
2.640000e-01	-3.748765e-08	-3.748765e-08	-3.748765e-08
2.650000e-01	-3.747443e-08	-3.747443e-08	-3.747443e-08
2.660000e-01	-3.745987e-08	-3.745987e-08	-3.745987e-08
2.670000e-01	-3.744354e-08	-3.744354e-08	-3.744354e-08
2.680000e-01	-3.742497e-08	-3.742497e-08	-3.742497e-08
2.690000e-01	-3.740369e-08	-3.740369e-08	-3.740369e-08
2.700000e-01	-3.737921e-08	-3.737921e-08	-3.737921e-08
2.710000e-01	-3.735105e-08	-3.735105e-08	-3.735105e-08
2.720000e-01	-3.731871e-08	-3.731871e-08	-3.731871e-08
2.730000e-01	-3.728171e-08	-3.728171e-08	-3.728171e-08
2.740000e-01	-3.723957e-08	-3.723957e-08	-3.723957e-08
2.750000e-01	-3.719180e-08	-3.719180e-08	-3.719180e-08
2.760000e-01	-3.713797e-08	-3.713797e-08	-3.713797e-08
2.770000e-01	-3.707762e-08	-3.707762e-08	-3.707762e-08
2.780000e-01	-3.701033e-08	-3.701033e-08	-3.701033e-08
2.790000e-01	-3.693570e-08	-3.693570e-08	-3.693570e-08
2.800000e-01	-3.685336e-08	-3.685336e-08	-3.685336e-08
2.810000e-01	-3.676296e-08	-3.676296e-08	-3.676296e-08
2.820000e-01	-3.666419e-08	-3.666419e-08	-3.666419e-08
2.830000e-01	-3.655678e-08	-3.655678e-08	-3.655678e-08
2.840000e-01	-3.644048e-08	-3.644048e-08	-3.644048e-08
2.850000e-01	-3.631510e-08	-3.631510e-08	-3.631510e-08
2.860000e-01	-3.618050e-08	-3.618050e-08	-3.618050e-08
2.870000e-01	-3.603657e-08	-3.603657e-08	-3.603657e-08
2.880000e-01	-3.588326e-08	-3.588326e-08	-3.588326e-08
2.890000e-01	-3.572059e-08	-3.572059e-08	-3.572059e-08
2.900000e-01	-3.554862e-08	-3.554862e-08	-3.554862e-08
2.910000e-01	-3.536747e-08	-3.536747e-08	-3.536747e-08
2.920000e-01	-3.517734e-08	-3.517734e-08	-3.517734e-08
2.930000e-01	-3.497848e-08	-3.497848e-08	-3.497848e-08
2.940000e-01	-3.477119e-08	-3.477119e-08	-3.477119e-08
2.950000e-01	-3.455586e-08	-3.455586e-08	-3.455586e-08
2.960000e-01	-3.433293e-08	-3.433293e-08	-3.433293e-08
2.970000e-01	-3.410291e-08	-3.410291e-08	-3.410291e-08
2.980000e-01	-3.386635e-08	-3.386635e-08	-3.386635e-08
2.990000e-01	-3.362389e-08	-3.362389e-08	-3.362389e-08
3.000000e-01	-3.337619e-08	-3.337619e-08	-3.337619e-08
3.010000e-01	-3.312398e-08	-3.312398e-08	-3.312398e-08
3.020000e-01	-3.286803e-08	-3.286803e-08	-3.286803e-08
3.030000e-01	-3.260913e-08	-3.260913e-08	-3.260913e-08
3.040000e-01	-3.234812e-08	-3.234812e-08	-3.234812e-08
3.050000e-01	-3.208586e-08	-3.208586e-08	-3.208586e-08
3.060000e-01	-3.182322e-08	-3.182322e-08	-3.182322e-08
3.070000e-01	-3.156108e-08	-3.156108e-08	-3.156108e-08
3.080000e-01	-3.130030e-08	-3.130030e-08	-3.130030e-08
3.090000e-01	-3.104175e-08	-3.104175e-08	-3.104175e-08
3.100000e-01	-3.078628e-08	-3.078628e-08	-3.078628e-08
3.110000e-01	-3.053469e-08	-3.053469e-08	-3.053469e-08
3.120000e-01	-3.028777e-08	-3.028777e-08	-3.028777e-08
3.130000e-01	-3.004624e-08	-3.004624e-08	-3.004624e-08
3.140000e-01	-2.981077e-08	-2.981077e-08	-2.981077e-08
3.150000e-01	-2.958199e-08	-2.958199e-08	-2.958199e-08
3.160000e-01	-2.936044e-08	-2.936044e-08	-2.936044e-08
3.170000e-01	-2.914661e-08	-2.914661e-08	-2.914661e-08
3.180000e-01	-2.894089e-08	-2.894089e-08	-2.894089e-08
3.190000e-01	-2.874362e-08	-2.874362e-08	-2.874362e-08
3.200000e-01	-2.855504e-08	-2.855504e-08	-2.855504e-08
3.210000e-01	-2.837531e-08	-2.837531e-08	-2.837531e-08
3.220000e-01	-2.820451e-08	-2.820451e-08	-2.820451e-08
3.230000e-01	-2.804266e-08	-2.804266e-08	-2.804266e-08
3.240000e-01	-2.788967e-08	-2.788967e-08	-2.788967e-08
3.250000e-01	-2.774540e-08	-2.774540e-08	-2.774540e-08
3.260000e-01	-2.760964e-08	-2.760964e-08	-2.760964e-08
3.270000e-01	-2.748209e-08	-2.748209e-08	-2.748209e-08
3.280000e-01	-2.736243e-08	-2.736243e-08	-2.736243e-08
3.290000e-01	-2.725025e-08	-2.725025e-08	-2.725025e-08
3.300000e-01	-2.714512e-08	-2.714512e-08	-2.714512e-08
3.310000e-01	-2.704656e-08	-2.704656e-08	-2.704656e-08
3.320000e-01	-2.695407e-08	-2.695407e-08	-2.695407e-08
3.330000e-01	-2.686710e-08	-2.686710e-08	-2.686710e-08
3.340000e-01	-2.678511e-08	-2.678511e-08	-2.678511e-08
3.350000e-01	-2.670752e-08	-2.670752e-08	-2.670752e-08
3.360000e-01	-2.663379e-08	-2.663379e-08	-2.663379e-08
3.370000e-01	-2.656334e-08	-2.656334e-08	-2.656334e-08
3.380000e-01	-2.649563e-08	-2.649563e-08	-2.649563e-08
3.390000e-01	-2.643012e-08	-2.643012e-08	-2.643012e-08
3.400000e-01	-2.636629e-08	-2.636629e-08	-2.636629e-08
3.410000e-01	-2.630367e-08	-2.630367e-08	-2.630367e-08
3.420000e-01	-2.624179e-08	-2.624179e-08	-2.624179e-08
3.430000e-01	-2.618026e-08	-2.618026e-08	-2.618026e-08
3.440000e-01	-2.611869e-08	-2.611869e-08	-2.611869e-08
3.450000e-01	-2.605677e-08	-2.605677e-08	-2.605677e-08
3.460000e-01	-2.599423e-08	-2.599423e-08	-2.599423e-08
3.470000e-01	-2.593084e-08	-2.593084e-08	-2.593084e-08
